Stock Symbol,Float Shares,Current Price,3M Avg Volume
PCSC,4882538,10.615,3058.064516129032
PCYO,18392852,10.215,58070.4126984127
PDLB,16962677,13.3,46152.25396825397
PESI,17129474,9.995,187474.6349206349
PETS,14017220,3.99,156342.11111111112
PFTA,507406,10.76,0.0
PFTAU,507406,10.85,0.0
PHIO,4793356,3.085,3239829.793650794
PIII,1199554,6.475,12910.41935483871
PIK,722867,2.38,1522.4516129032259
PINE,13010822,15.33,78617.57142857143
PKBK,9673986,19.265,23485.904761904763
PKE,18499276,14.105,50819.269841269845
PKOH,9099155,17.55,27616.777777777777
PLAG,4188507,2.71,216943.6984126984
PLAO,4541400,11.85,294.241935483871
PLSE,17403748,17.25,183641.09523809524
PLUR,3841343,4.675,18300.555555555555
PMD,4305127,2.67,3006.435483870968
POCI,5681226,4.7,21505.74603174603
PODC,5538730,2.1,23474.74603174603
PPBT,2601382,2.6,104753.52380952382
PPIH,7177127,14.6766,27632.777777777777
PPSI,8634998,2.8,50850.206349206346
PRE,9176574,8.11,20400.444444444445
PRFX,1340751,2.04,1328738.5396825396
PROP,19451620,3.93,656386.9047619047
PROV,4216282,15.79,5616.539682539683
PRPO,1334713,11.0775,11171.126984126984
PRT,7272066,3.9,36309.8253968254
PRTG,551729,8.52,1346527.126984127
PTIX,491613,3.63,2037007.3015873015
PULM,3628107,8.935,19034.06349206349
PVBC,13500198,11.68,47670.68253968254
PXS,4367468,2.79,21744.920634920636
PYPD,4610773,3.265,31484.920634920636
QETA,826566,10.72,3041.967741935484
QETAU,826566,10.65,167.74193548387098
QLGN,735989,3.7381,57450.93650793651
QMCO,5213090,10.6531,1841218.0317460317
QNRX,18047816,8.93,286868.49206349207
QRHC,13760663,2.19,103643.33333333333
QUIK,13705159,5.7,132781.7619047619
RAPP,14934070,12.78,220806.2857142857
RAIL,12063179,8.16,266294.5396825397
RAVE,7874913,2.618,18201.095238095237
RBKB,2777554,11.73,7620.650793650793
